,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Idaho
7,Iowa
8,Kansas
9,Louisiana
10,Maine
11,Minnesota
12,Missouri
13,Montana
14,Nebraska
15,Nevada
16,North Carolina
17,North Dakota
18,Oregon
19,Tennessee
20,Texas
21,Utah
22,Vermont
23,Washington
24,Wisconsin
25,Wyoming
